"gene_id","SRR5206993_rsem.genes.csv","SRR5206994_rsem.genes.csv","SRR5206995_rsem.genes.csv","SRR5206996_rsem.genes.csv","SRR5206997_rsem.genes.csv","SRR5207019_rsem.genes.csv","SRR5207020_rsem.genes.csv","SRR5207021_rsem.genes.csv","SRR5207022_rsem.genes.csv","SRR5207023_rsem.genes.csv"
"b4806",0,0,0,0,0,0,0,0,0,0
"b4807",0,0,0,0,0,0,0,0,0,0
"b4808",0,0,0,0,0,0,0,0,0,0
"b4809",0,0,0,0,0,0,0,0,0,0
"b4810",154,61,0,0,0,124,135,265,243,237
"b4811",0,0,0,0,0,0,0,0,0,0
"b4813",0,0,0,0,0,0,0,0,0,0
"b4814",0,0,0,0,0,0,0,0,0,0
"b4825",0,0,0,0,0,0,0,0,0,0
"b4826",0,0,0,0,0,0,0,0,0,0
"b4827",0,0,0,0,0,0,0,0,0,0
"b4828",0,0,0,0,0,0,0,0,0,0
"b4829",0,0,0,0,0,0,0,0,0,0
"b4830",0,0,0,0,0,0,0,0,0,0
"b4831",1,0,0,0,0,1,3,1,2,1
"b4832",0,0,0,0,0,0,0,0,0,0
"b4833",0,0,0,0,0,0,0,0,0,0
"b4834",0,0,0,0,0,0,0,0,0,0
"b4835",0,0,0,0,0,0,0,0,0,0
